IDBMd;IDGG;IDM;BMshareGG
G22-SPHEV20-LFP;Iprinc;35;0
G22-SPHEV20-LFP;Iprinc;58;0.005000500050005001
G22-SPHEV20-LFP;Iprinc;59;0.0299029902990299
G22-SPHEV20-LFP;Iprinc;60;0.01880188018801873
G22-SPHEV20-LFP;Iprinc;3;0
G22-SPHEV20-LFP;Iprinc;8;0
G22-SPHEV20-LFP;Iprinc;66;0
G22-SPHEV20-LFP;Iprinc;15;0
G22-SPHEV20-LFP;Iprinc;68;0
G22-SPHEV20-LFP;Iprinc;11;0
G22-SPHEV20-LFP;Iprinc;85;0
G22-SPHEV20-LFP;Iprinc;86;0
G22-SPHEV20-LFP;Iprinc;87;0.1657
G22-SPHEV20-LFP;Iprinc;88;0
G22-SPHEV20-LFP;Iprinc;89;0
G22-SPHEV20-LFP;Iprinc;90;0
G22-SPHEV20-LFP;Iprinc;91;0
G22-SPHEV20-LFP;Iprinc;92;0
G22-SPHEV20-LFP;Iprinc;93;0
G22-SPHEV20-LFP;Iprinc;94;0
G22-SPHEV20-LFP;Iprinc;95;0
G22-SPHEV20-LFP;Iprinc;96;0
G22-SPHEV20-LFP;Iprinc;97;0
G22-SPHEV20-LFP;Iprinc;98;0
G22-SPHEV20-LFP;Iprinc;99;0
G22-SPHEV20-LFP;Iprinc;100;0
G23-HEV-NMC111;Iprinc;41;0.114
G23-HEV-NMC111;Iprinc;22;0.0688
G23-HEV-NMC111;Iprinc;43;0
G23-HEV-NMC111;Iprinc;44;0.0037
G23-HEV-NMC111;Iprinc;6;0.1989
G23-HEV-NMC111;Iprinc;4;0
G23-HEV-NMC111;Iprinc;4a;0.1604
G23-HEV-NMC111;Iprinc;4b;0
G23-HEV-NMC111;Iprinc;5;0
G23-HEV-NMC111;Iprinc;48;0.0083
G23-HEV-NMC111;Iprinc;49;0.0231
G23-HEV-NMC111;Iprinc;50;0.0231
G23-HEV-NMC111;Iprinc;37;0.0198
G23-HEV-NMC111;Iprinc;52;0
G23-HEV-NMC111;Iprinc;10;0
G23-HEV-NMC111;Iprinc;26;0.0028
G23-HEV-NMC111;Iprinc;1;0.1849
G23-HEV-NMC111;Iprinc;2;0.0767
G23-HEV-NMC111;Iprinc;35;0.0031
G23-HEV-NMC111;Iprinc;58;0.0056
G23-HEV-NMC111;Iprinc;59;0.0455
G23-HEV-NMC111;Iprinc;60;0.06129999999999991
