IDV;IDVP;GC;GCText;IsCalculated
5;22;5;;0
5;23;0;;0
5;24;0;;0
5;26;25;;0
5;27;1.484632302405498;;0
5;28;13.10610765964202;;1
5;29;1;;0
5;31;0;;0
5;32;0;PBP-BEV-LFP;0
5;33;0;;1
5;34;8.638297872340425;;1
5;35;643.6980536667398;;1
5;36;0;;1
5;37;0;;1
5;41;0;;0
5;42;0;;1
6;2;0;;0
6;3;134.943154156;;0
6;4;0.72;;0
6;5;56.74;;0
6;6;18;;0
6;7;4.4175;;0
6;8;1.86;;0
6;9;8.216550000000002;;1
6;10;6;;0
6;11;7;;0
6;12;5;;0
6;13;4;;0
6;14;1;;0
6;15;134.943154156;;1
6;16;1108.767173280482;;1
6;17;16000;;0
6;18;0;;1
6;19;0;;0
6;20;0;;0
6;21;0;;0
6;22;5;;0
6;23;0;;0
6;24;0;;0
6;26;25;;0
6;27;1.63;;0
6;28;13.3929765;;1
6;29;1;;0
6;31;0;;0
6;32;0;PBP-BEV-LFP;0
6;33;0;;1
6;34;8.638297872340425;;1
6;35;490.1370212765958;;1
6;36;0;;1
6;37;0;;1
6;41;0;;0
6;42;0;;1
7;2;79.09976480075191;;0
7;3;40;;0
7;4;0.72;;0
7;5;2;;0
7;6;15;;0
7;7;4.110078747677573;;0
7;8;1.734553597154468;;0
7;9;7.129151876372264;;1
7;10;6;;0
7;11;7;;0
7;12;5;;0
7;13;4;;0
7;14;1;;0
7;15;79.09976480075191;;1
7;16;563.9142366498852;;1
7;17;14000;;0
7;18;3.163990592030077;;1
7;19;46.81806451132152;;0
7;20;0;;0
7;21;0;;0
7;22;3;;0
7;23;0;;0
7;24;40;;0
7;26;33;;0
7;27;1.483960496378504;;0
7;28;10.57937975721913;;1
7;29;1;;0
7;31;40;;0
7;32;0;PBP-HEV-NMC811;0
7;33;0.3865957446808511;;1
7;34;6.72340425531915;;1
7;35;15.46382978723404;;1
7;36;0;;1
7;37;79.09976480075191;;1
7;41;1;;0
7;42;79.09976480075191;;1
8;2;127.8755196078431;;0
8;3;18.52761764705883;;0
8;4;0.72;;0
8;5;1.949019607843137;;0
8;6;17.94633642930857;;0
8;7;4.724805985552116;;0
8;8;1.81925386996904;;0
8;9;8.595621574068572;;1
8;10;6;;0
8;11;10;;0
8;12;5;;0
8;13;4;;0
8;14;1;;0
8;15;127.8755196078431;;1
8;16;1099.169575136405;;1
8;17;20000;;0
8;18;5.115020784313725;;1
8;19;56.03405572755418;;0
8;20;0;;0
8;21;0;;0
8;22;3;;0
8;23;0;;0
8;24;18.52761764705883;;0
8;26;33;;0
8;27;1.46662693498452;;0
8;28;12.606570123463;;1
8;29;1;;0
8;31;18.52761764705883;;0
8;32;0;PBP-HEV-NMC811;0
8;33;0.3865957446808511;;1
8;34;6.72340425531915;;1
8;35;7.162698141426786;;1
8;36;0;;1
8;37;127.8755196078431;;1
8;41;1;;0
8;42;127.8755196078431;;1
9;2;82.81541731358803;;0
9;3;61.80308578597431;;0
9;4;0.72;;0
