IDVMR;IDGG;IDM;MshareGG
BISD8;A;14;0.008653232239797847
BISD8;A;9;0.04546675960342684
BISD8;A;12;0
BISD8;A;10;0.221663762005411
BISD8;A;11;0.01771479058598038
BISD8;A;40;0.00531478580945477
BISD8;B;1;0.6665836603629145
BISD8;B;3;0
BISD8;B;4a;0.01662591967472562
BISD8;B;4b;0
BISD8;B;5;0.1084040143908762
BISD8;B;6;0.01342215492570721
BISD8;B;7;0
BISD8;B;8;0.001885932547107197
BISD8;B;14;0.006783709194509935
BISD8;B;10;0.03011256436694288
BISD8;B;11;0.1561349496470749
BISD8;B;40;4.709489014154133e-05
BISD8;C;1;0.5065999999999999
BISD8;C;2;0.0119
BISD8;C;5;0.321
BISD8;C;6;0.1056
BISD8;C;23;0.02799999999999999
BISD8;C;24;0.0003999999999999999
BISD8;C;25;0.004699999999999999
BISD8;C;15;0.0002999999999999999
BISD8;C;26;0.003299999999999999
BISD8;C;27;0.0028
BISD8;C;28;0.0004999999999999999
BISD8;C;14;9.999999999999998e-05
BISD8;C;30;0.0006999999999999999
BISD8;C;31;0.008599999999999998
BISD8;C;32;9.999999999999998e-05
BISD8;C;33;0.0013
BISD8;C;34;0.003899999999999999
BISD8;C;7;0.0002
BISD8;C;40;0
BISD8;D;1;0.5119867092685046
BISD8;D;2;0
BISD8;D;3;0.227994081471131
BISD8;D;4a;0
BISD8;D;4b;0
BISD8;D;5;0.1369964436909866
BISD8;D;6;0.0269992991215813
BISD8;D;8;0
BISD8;D;14;0
BISD8;D;10;0.07499805311550362
BISD8;D;11;0.02099945487234101
BISD8;D;12;1.297922997592028e-05
BISD8;D;16;0
BISD8;D;17;0
BISD8;D;18;0
BISD8;D;19;0
BISD8;D;20;1.297922997592028e-05
BISD8;D;22;0
BISD8;D;15;0
BISD8;D;21;0
BISD8;D;40;0
BISD8;E;1;0.605
BISD8;E;6;0.189
BISD8;E;3;0
BISD8;E;8;0
BISD8;E;4a;0.2
BISD8;E;4b;0
BISD8;E;5;0
BISD8;E;12;0
BISD8;E;10;0.002
BISD8;E;11;0
BISD8;E;40;0.004000000000000004
BISD8;F;1;0.361
BISD8;F;5;0.361
BISD8;F;6;0.278
BISD8;F;40;0
BISD8;G;1;0.0277
BISD8;G;5;0.537
BISD8;G;6;0.2589
BISD8;G;11;0.0104
BISD8;G;10;0.0096
BISD8;G;35;0.0025
BISD8;G;31;0.0028
BISD8;G;14;0.0069
BISD8;G;36;0
BISD8;G;15;0.0016
BISD8;G;32;0.0007
BISD8;G;26;0.0303
BISD8;G;37;0.0435
BISD8;G;38;0.0216
BISD8;G;7;0.0111
BISD8;G;39;0.0002
BISD8;G;40;0.03520000000000001
BISD8;H;1;0
BISD8;H;2;0
BISD8;H;12;0
BISD8;H;14;0
BISD8;H;4a;0
BISD8;H;4b;0
BISD8;H;6;0
BISD8;H;10;0
BISD8;H;11;0
BISD8;H;15;0
BISD8;H;21;0
BISD8;H;40;0
BISD8;Iaux;37;0.061
BISD8;Iaux;72;0.69
BISD8;Iaux;73;0.079
BISD8;Iaux;29;0.021
BISD8;Iaux;75;0.141
BISD8;Iaux;76;0.008000000000000118
BISD8;Iaux;84;1
BISD12;A;1;0.648589044735067
BISD12;A;4a;0.02866444228700337
BISD12;A;4b;0
BISD12;A;5;0.002037785936527162
BISD12;A;6;0.02189539679733182
BISD12;A;7;0
BISD12;A;8;0
BISD12;A;14;0.008653232239797847
BISD12;A;9;0.04546675960342684
BISD12;A;12;0
BISD12;A;10;0.221663762005411
BISD12;A;11;0.01771479058598038
BISD12;A;40;0.00531478580945477
BISD12;B;1;0.6665836603629145
BISD12;B;3;0
BISD12;B;4a;0.01662591967472562
BISD12;B;4b;0
BISD12;B;5;0.1084040143908762
BISD12;B;6;0.01342215492570721
BISD12;B;7;0
BISD12;B;8;0.001885932547107197
BISD12;B;14;0.006783709194509935
BISD12;B;10;0.03011256436694288
BISD12;B;11;0.1561349496470749
BISD12;B;40;4.709489014154133e-05
BISD12;C;1;0.5168000000000001
BISD12;C;2;0.01
BISD12;C;5;0.3209000000000001
BISD12;C;6;0.09860000000000002
BISD12;C;23;0.02830000000000001
BISD12;C;24;0.0005000000000000001
BISD12;C;25;0.004400000000000001
BISD12;C;15;0.0003
BISD12;C;26;0.003200000000000001
BISD12;C;27;0.0024
BISD12;C;28;0.0004000000000000001
BISD12;C;14;0.0001
BISD12;C;30;0.0005000000000000001
BISD12;C;31;0.008300000000000002
BISD12;C;32;0.0001
BISD12;C;33;0.0013
BISD12;C;34;0.003700000000000001
BISD12;C;7;0.0002000000000000001
BISD12;C;40;0
BISD12;D;1;0.468
BISD12;D;2;0
BISD12;D;3;0
BISD12;D;4a;0
BISD12;D;4b;0
BISD12;D;5;0
BISD12;D;6;0.218
BISD12;D;8;0
BISD12;D;14;0
BISD12;D;10;0.314
BISD12;D;11;0
BISD12;D;12;0
BISD12;D;16;0
BISD12;D;17;0
BISD12;D;18;0
BISD12;D;19;0
BISD12;D;20;0
BISD12;D;22;0
BISD12;D;15;0
BISD12;D;21;0
BISD12;D;40;0
BISD12;E;1;0.605
BISD12;E;6;0.189
BISD12;E;3;0
BISD12;E;8;0
BISD12;E;4a;0.2
BISD12;E;4b;0
BISD12;E;5;0
BISD12;E;12;0
BISD12;E;10;0.002
BISD12;E;11;0
BISD12;E;40;0.004000000000000004
BISD12;F;1;0
BISD12;F;5;0
BISD12;F;6;0
BISD12;F;40;0
BISD12;G;1;0.0273
BISD12;G;5;0.5251
BISD12;G;6;0.2781
BISD12;G;11;0.0112
BISD12;G;10;0.0096
BISD12;G;35;0.0027
BISD12;G;31;0.0023
BISD12;G;14;0.0064
BISD12;G;36;0
BISD12;G;15;0.0016
BISD12;G;32;0.0007
BISD12;G;26;0.0291
BISD12;G;37;0.0417
BISD12;G;38;0.0207
BISD12;G;7;0.0107
BISD12;G;39;0.0002
BISD12;G;40;0.03259999999999985
BISD12;H;1;0
BISD12;H;2;0
BISD12;H;12;0
BISD12;H;14;0
BISD12;H;4a;0
BISD12;H;4b;0
BISD12;H;6;0
BISD12;H;10;0
BISD12;H;11;0
BISD12;H;15;0
BISD12;H;21;0
BISD12;H;40;0
BISD12;Iaux;37;0.061
BISD12;Iaux;72;0.69
BISD12;Iaux;73;0.079
BISD12;Iaux;29;0.021
BISD12;Iaux;75;0.141
BISD12;Iaux;76;0.008000000000000118
BISD12;Iaux;84;1
PBP_BISD2;A;1;0.8023187755160879
PBP_BISD2;A;10;0.1107508954661997
PBP_BISD2;A;11;0.01767786775125285
PBP_BISD2;A;12;0
PBP_BISD2;A;14;0.008491106795336958
PBP_BISD2;A;40;0.008556485308896628
PBP_BISD2;A;4a;0.006139829427055256
PBP_BISD2;A;4b;0
PBP_BISD2;A;5;0.001646079589322836
PBP_BISD2;A;6;0
PBP_BISD2;A;7;0
PBP_BISD2;A;8;0
PBP_BISD2;A;9;0.04441896014584783
PBP_BISD2;B;1;0.8148789052097072
PBP_BISD2;B;10;0.05072927966751107
PBP_BISD2;B;11;0.09154019152782944
